corpus,experimental_file,experimental_utterance,responder,experimental_response,experimental_start_time_minutes,experimental_past_tense,experimental_plural,experimental_elan_coded,experimental_age_years,experimental_length,experimental_utt_num,experimental_response_time,experimental_age_months,control_length,control_age_months,control_utterance,control_response,control_response_time,speaker,control_start_time_minutes,control_age,control_past_tense,control_plural,control_file,diff
emily,020704,I drawed chalk only for kids,CAR,what's for kids,29.218,TRUE,FALSE,TRUE,2.595482546201232,6,4,520,31,6,31,dey dey were bouncin bounce bounce,oh yeah,0,CHI,3.2188333333333334,948,FALSE,FALSE,020704,0
emily,020704,I drawed chalk only for kids,CAR,what's for kids,29.218,TRUE,FALSE,TRUE,2.595482546201232,6,4,520,31,6,31,jum around in the mud puddle,yeah it rained huh,0,CHI,9.4563,962,FALSE,FALSE,020718,0
emily,020704,I drawed chalk only for kids,CAR,what's for kids,29.218,TRUE,FALSE,TRUE,2.595482546201232,6,4,520,31,6,31,just us and Deanna and Dece,mm hm,0,CHI,2.7214666666666667,948,FALSE,FALSE,020704,0
emily,020718,I falled off o there,CAR,no this happened last weekend,5.99705,TRUE,FALSE,TRUE,2.6338124572210813,5,1,510,31,5,31,they go vroom vroom vroom,on what,0,CHI,13.854666666666667,962,FALSE,FALSE,020718,0
emily,020718,I falled off o there,CAR,no this happened last weekend,5.99705,TRUE,FALSE,TRUE,2.6338124572210813,5,1,510,31,5,31,but I'm screwing it in,what is it,0,CHI,0.12731666666666666,948,FALSE,FALSE,020704,0
emily,020718,I falled off o there,CAR,no this happened last weekend,5.99705,TRUE,FALSE,TRUE,2.6338124572210813,5,1,510,31,5,31,I can bring it here,come over here,0,CHI,19.15876666666667,948,FALSE,FALSE,020704,0
emily,020718,he waked up,CAR,he did,26.07825,TRUE,FALSE,TRUE,2.6338124572210813,3,2,1220,31,3,31,but a guest,he's a deer,0,CHI,20.375133333333334,948,FALSE,FALSE,020704,0
emily,020718,he waked up,CAR,he did,26.07825,TRUE,FALSE,TRUE,2.6338124572210813,3,2,1220,31,3,31,Papa and you,mm hm and we took pictures huh,0,CHI,10.199416666666668,948,FALSE,FALSE,020704,0
emily,020718,he waked up,CAR,he did,26.07825,TRUE,FALSE,TRUE,2.6338124572210813,3,2,1220,31,3,31,a teeter totter,yeah,0,CHI,30.11276666666667,962,FALSE,FALSE,020718,0
emily,020729,right on his foots,CAR,he did,16.44675,FALSE,TRUE,TRUE,2.6639288158795345,4,1,830,31,4,31,Rabbit would get it,when did you go see that movie,0,CHI,12.588116666666668,948,FALSE,FALSE,020704,0
emily,020729,right on his foots,CAR,he did,16.44675,FALSE,TRUE,TRUE,2.6639288158795345,4,1,830,31,4,31,not in my car,okay,0,CHI,19.063516666666665,962,FALSE,FALSE,020718,0
emily,020729,right on his foots,CAR,he did,16.44675,FALSE,TRUE,TRUE,2.6639288158795345,4,1,830,31,4,31,that's how Daddy went,when did we feed the ducks,0,CHI,5.7908833333333325,962,FALSE,FALSE,020718,0
emily,020902,he flied a big plane to his mommy and daddy,CAR,mm hm,2.31335,TRUE,FALSE,TRUE,2.757015742642026,10,1,-30,33,10,33,they're somewhere but he's livin with the mom and dad,they live in California,0,CHI,2.1290999999999998,1007,FALSE,FALSE,020902,0
emily,020902,he flied a big plane to his mommy and daddy,CAR,mm hm,2.31335,TRUE,FALSE,TRUE,2.757015742642026,10,1,-30,33,10,33,because they're special and you and you don't wanna break,but do you know,0,CHI,8.225783333333334,1028,FALSE,FALSE,020923,0
emily,020902,he flied a big plane to his mommy and daddy,CAR,mm hm,2.31335,TRUE,FALSE,TRUE,2.757015742642026,10,1,-30,33,10,33,no I was waterin her I was waterin her chest,did you poor water on her,0,CHI,16.017916666666668,1007,FALSE,FALSE,020902,0
emily,020902,but he he goed to his mommy and daddy way over there,CAR,how'd you get that boo_boo,15.61641667,TRUE,FALSE,TRUE,2.757015742642026,12,2,2230,33,12,33,he's in a ca because he wanna see his mommy and daddy,like Quincy huh,0,CHI,13.025166666666667,1007,FALSE,FALSE,020902,0
emily,020902,but he he goed to his mommy and daddy way over there,CAR,how'd you get that boo_boo,15.61641667,TRUE,FALSE,TRUE,2.757015742642026,12,2,2230,33,12,33,but I show you some of my books in my toy box,okay read them to me,0,CHI,9.019083333333333,1028,FALSE,FALSE,020923,0
emily,020902,but he he goed to his mommy and daddy way over there,CAR,how'd you get that boo_boo,15.61641667,TRUE,FALSE,TRUE,2.757015742642026,12,2,2230,33,12,33,Anthony's got a problem he can't wiggle on the these these Widdles,oh so he has a problem,0,CHI,3.4928666666666666,1028,FALSE,FALSE,020923,0
emily,020902,I fighted with her too,CAR,you fought with Grandma,18.28383333,TRUE,FALSE,TRUE,2.757015742642026,5,3,170,33,5,33,one minute please one minute,okay,0,CHI,30.9796,1007,FALSE,FALSE,020902,0
emily,020902,I fighted with her too,CAR,you fought with Grandma,18.28383333,TRUE,FALSE,TRUE,2.757015742642026,5,3,170,33,5,33,he's in the d_v_d player,yeah but what'd he do on his show,0,CHI,19.872183333333332,1007,FALSE,FALSE,020902,0
emily,020902,I fighted with her too,CAR,you fought with Grandma,18.28383333,TRUE,FALSE,TRUE,2.757015742642026,5,3,170,33,5,33,what's that seahorse doin up,I can't read you hafta read for me,0,CHI,22.691166666666668,1007,FALSE,FALSE,020902,0
emily,020923,I swinged it on my head,CAR,did that hurt,4.550633333,TRUE,FALSE,TRUE,2.8145106091718,6,1,1250,33,6,33,now now I can just sit,here face me yeah sit down,-1,CHI,6.642416666666667,1007,FALSE,FALSE,020902,0
emily,020923,I swinged it on my head,CAR,did that hurt,4.550633333,TRUE,FALSE,TRUE,2.8145106091718,6,1,1250,33,6,33,I'm gonna stay here with Grandma,oh okay,0,CHI,19.353216666666665,1007,FALSE,FALSE,020902,0
emily,020923,I swinged it on my head,CAR,did that hurt,4.550633333,TRUE,FALSE,TRUE,2.8145106091718,6,1,1250,33,6,33,I go a Spongebob d_v_d player,you do,0,CHI,19.563233333333336,1007,FALSE,FALSE,020902,0
emily,021007,mouses don't drive in crayons car,CAR,I know they don't,16.10658333,FALSE,TRUE,TRUE,2.8542094455852154,6,1,450,34,6,34,no I can't clean it up,not you the janitor you hafta tell him,0,CHI,12.037666666666667,1042.5,FALSE,FALSE,021007,0
emily,021007,mouses don't drive in crayons car,CAR,I know they don't,16.10658333,FALSE,TRUE,TRUE,2.8542094455852154,6,1,450,34,6,34,but Mom doesn't have a mustache,no girls don't have mustaches,0,CHI,2.0345666666666666,1063.5,FALSE,FALSE,021028,0
emily,021007,mouses don't drive in crayons car,CAR,I know they don't,16.10658333,FALSE,TRUE,TRUE,2.8542094455852154,6,1,450,34,6,34,I will be it this time,what do you and Mommy buy in the grocery store when you go,6.600000000000023,CHI,11.237716666666667,1042.5,FALSE,FALSE,021007,0
emily,021007,have you hadded presents and cake,CAR,I did,20.04045,TRUE,FALSE,TRUE,2.8542094455852154,6,2,470,34,6,34,I di wanna talk to Santa,why,0,CHI,1.56335,1063.5,FALSE,FALSE,021028,0
emily,021007,have you hadded presents and cake,CAR,I did,20.04045,TRUE,FALSE,TRUE,2.8542094455852154,6,2,470,34,6,34,the termites are really really funny,what did we do yesterday,0,CHI,5.16885,1063.5,FALSE,FALSE,021028,0
